id,questionText,option1,option2,option3,correctOption,explanation
1,"Which company originally developed React Native?","Google","Meta (formerly Facebook)","Microsoft",2,"React Native was developed by Facebook (now Meta)."
2,"What language is primarily used for coding React Native apps?","C#","JavaScript","Dart",2,"React Native apps are mainly written in JavaScript (or TypeScript)."
3,"Which command is used to initialize a new React Native project via the CLI?","react-native init MyApp","npx create-react-app MyApp","expo init MyApp",1,"'react-native init MyApp' sets up a new project using the React Native CLI."
4,"What file typically serves as the main entry point in a React Native project created by the CLI?","MainActivity.java","App.js","index.html",2,"App.js usually acts as the root component."
5,"Which React hook would you use to track state in a functional component?","useEffect","useState","useCallback",2,"useState is used for managing state in functional components."
6,"Which component is best suited for efficiently rendering large lists?","ScrollView","FlatList","SectionList",2,"FlatList is optimized for large lists of data."
7,"How do you apply styles in React Native?","CSS files","StyleSheet or inline styles","Styling is not supported",2,"React Native uses the StyleSheet API or inline styles in JS objects."
8,"Which platform(s) does React Native primarily target?","Only iOS","Only Android","Both iOS and Android",3,"React Native supports both iOS and Android."
9,"How do you run a React Native app on an Android emulator using the CLI?","react-native run-ios","react-native run-android","npm run android-emulator",2,"'react-native run-android' launches the app on an Android device or emulator."
10,"How do you run a React Native app on an iOS simulator using the CLI?","react-native run-iOS","npx pod-install ios","react-native run-ios",3,"'react-native run-ios' builds and launches the iOS app on a simulator."
11,"Which tool can you use to build and run React Native apps with minimal native setup?","Expo","Android Studio only","Xcode only",1,"Expo is a toolchain that simplifies development without requiring extensive native setup."
12,"Which command starts the development server in a React Native CLI project?","npm start","react-native start","npx react-native-server",2,"'react-native start' launches the Metro bundler."
13,"What is the Metro bundler in React Native?","A testing tool","A JavaScript bundler for React Native","A code linter",2,"Metro is the bundler that packs JavaScript code for React Native."
14,"Which method is used to debug React Native apps in development?","console.log and React DevTools","built-in debugging in the final APK/IPA only","A third-party tool exclusively",1,"You can use console.log#^ React DevTools#^ Flipper#^ etc. for debugging."
15,"Which component is typically used to create a button in React Native?","<Button>","<TouchableHighlight> only","<input type='button'>",1,"<Button> is a basic component for clickable buttons in React Native."
16,"Which component helps handle text input from the user?","<Text>","<TextInput>","<EditableText>",2,"<TextInput> is the standard component for input fields."
17,"What does the 'useEffect' hook do?","Manages local component state","Performs side effects in functional components","Returns data from an API",2,"useEffect is for side effects like fetching data or subscribing to events."
18,"How do you conditionally render components in React Native?","Using if statements or the ternary operator in JSX","Using a special <Conditional> tag","Not supported in React Native",1,"Conditional rendering is done with standard JavaScript logic (if/else or ternary) in JSX."
19,"Which built-in React Native component can render a scrollable container?","<FlatList>","<TextInput>","<ScrollView>",3,"<ScrollView> is a basic scrollable container for child components."
20,"Which file typically contains the main navigation logic when using React Navigation?","App.js","navigation.js (or a custom navigation file)","AndroidManifest.xml",2,"Developers often keep navigation code in a dedicated file#^ e.g.#^ navigation.js."
21,"What is the difference between <View> and <ScrollView>?","<View> is scrollable#^ <ScrollView> is not","<ScrollView> is scrollable#^ <View> is not","Both are always scrollable",2,"<ScrollView> can scroll its content#^ while <View> is a static container."
22,"Which command installs React Navigation v6 via npm?","npm install @react-navigation/native","npm install react-navigation-v6","npm install react-navigation",1,"The correct package is '@react-navigation/native' along with required dependencies."
23,"Why might you use <TouchableOpacity>?","It provides an easy way to implement clickable elements with an opacity effect","It automatically styles the component","It only works for iOS",1,"<TouchableOpacity> is commonly used for touch interactions with a fade effect."
24,"How do you handle gestures in React Native?","Using CSS hover states","Using React Native Gesture Handler or PanResponder","It’s not possible",2,"React Native Gesture Handler or the built-in PanResponder can manage gestures."
25,"How can you optimize images in React Native?","Use <img> tags like in web","Use <Image> with appropriate resizing props","Manually handle bytes in code",2,"<Image> supports props such as 'resizeMode' to optimize and display images properly."
26,"Which lifecycle method is NOT used in React hooks?","componentDidMount","componentDidUpdate","useEffect",3,"Hooks replace lifecycle methods like componentDidMount or componentDidUpdate with useEffect."
27,"What is the purpose of the 'key' prop in a list?","To style each item","To uniquely identify each item for efficient rendering","To reorder items automatically",2,"Keys help React identify which items have changed#^ are added#^ or removed."
28,"What does the 'useReducer' hook provide?","A class component-based state approach","A Redux-like state management pattern","A direct way to manipulate the DOM",2,"useReducer can manage complex state transitions similar to Redux."
29,"How do you import React in a modern React Native file?","import React from 'react'","import React from 'native'","No import needed",1,"We typically use 'import React from 'react'' in modern RN code."
30,"Which style property is used to set spacing outside a component’s border?","padding","margin","borderSpacing",2,"margin sets the outside spacing#^ while padding is inside."
31,"How do you install a third-party library like axios?","npm install axios","react-native link axios","expo add axios",1,"Use npm or yarn to install third-party libraries#^ e.g. 'npm install axios'."
32,"What is the purpose of the 'Platform' module from 'react-native'?","To detect the type of device user has","To detect whether the app is running on iOS or Android","To handle user permissions",2,"Platform allows you to conditionally render or execute code based on the OS."
33,"Which debugging tool can you use for network requests and performance in React Native?","ESLint","Flipper","Metro bundler only",2,"Flipper is a platform for debugging iOS#^ Android#^ and React Native apps."
34,"What does 'Hot Reloading' or 'Fast Refresh' do?","Restarts the entire application from scratch","Preserves component state while reloading code","Automatically updates the OS",2,"Fast Refresh reloads code but preserves component state when possible."
35,"Which plugin is recommended to manage icons in a React Native app?","react-native-icons","react-native-vector-icons","IconManager",2,"react-native-vector-icons is a popular library for icons."
