id,questionText,option1,option2,option3,correctOption,explanation
1,"Which keyword is used to declare an immutable variable in Kotlin?","var","val","let",2,"In Kotlin#^ 'val' is used for immutable variables."
2,"Which keyword is used to declare a mutable variable in Kotlin?","var","val","let",1,"In Kotlin#^ 'var' is used for mutable variables."
3,"Which function is used to print output in Kotlin?","System.out.println()","print()","console.log()",2,"In Kotlin#^ 'print()' (and 'println()') are used to output text."
4,"How do you define a function in Kotlin?","def functionName() {}","fun functionName() {}","function functionName() {}",2,"Kotlin uses the 'fun' keyword to define functions."
5,"What is the default List implementation in Kotlin?","ArrayList","LinkedList","HashSet",1,"Kotlin’s List interface is typically backed by an ArrayList."
6,"Which collection type ensures unique elements in Kotlin?","List","Set","Map",2,"A Set ensures that all its elements are unique."
7,"Which function converts a List to a MutableList in Kotlin?","mutableListOf()","toMutableList()","asMutableList()",2,"toMutableList() creates a mutable copy of a list."
8,"What is the time complexity of searching in an unsorted List?","O(1)","O(n)","O(log n)",2,"Linear search in an unsorted list takes O(n) time."
9,"What is the time complexity of binary search on a sorted list?","O(n)","O(log n)","O(1)",2,"Binary search operates in O(log n) time on a sorted list."
10,"Which sorting function in Kotlin returns a sorted copy of a list?","sorted()","sort()","order()",1,"sorted() returns a new list sorted in ascending order."
11,"Which function is used to iterate over elements in a collection in Kotlin?","map()","forEach()","filter()",2,"forEach() is used to iterate over each element in a collection."
12,"What does the 'when' expression in Kotlin resemble in other languages?","switch-case","if-else","loop",1,"The 'when' expression is similar to a switch-case statement."
13,"Which symbol is used to denote a nullable type in Kotlin?","?","!","null",1,"Appending a '?' to a type (e.g.#^ String?) makes it nullable."
14,"Which function applies a transformation to every element of a list in Kotlin?","map()","reduce()","filter()",1,"map() applies a function to each element and returns a new list."
15,"Which operator is used to safely access a property of a nullable type in Kotlin?","!!","?.","!?",2,"The safe call operator '?.' allows access only if the variable is non-null."
16,"Which function aggregates elements of a collection into a single value in Kotlin?","map()","reduce()","forEach()",2,"reduce() combines the elements of a collection into a single result."
17,"What is the extension function to convert a String to an Integer in Kotlin?","toInt()","asInt()","intValue()",1,"toInt() converts a string representation of a number into an integer."
